"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"06 08:00:00","0.84210526315789","19","6","0.52631578947368","0.37894736842105","0.3578947368421","0.31578947368421","0.37894736842105","0.3578947368421"
"06 08:20:00","0.86486486486486","37","7","0.2972972972973","0.22162162162162","0.21081081081081","0.18918918918919","0.22162162162162","0.21081081081081"
"06 08:40:00","0.85714285714286","56","9","0.23214285714286","0.18214285714286","0.175","0.16071428571429","0.18214285714286","0.175"
"06 09:00:00","0.87654320987654","81","15","0.28395061728395","0.21481481481481","0.20493827160494","0.18518518518519","0.21481481481481","0.20493827160494"
"06 09:20:00","0.87735849056604","106","23","0.32075471698113","0.24811320754717","0.2377358490566","0.21698113207547","0.24811320754717","0.2377358490566"
"06 09:40:00","0.87272727272727","110","22","0.28181818181818","0.22454545454545","0.21636363636364","0.2","0.22454545454545","0.21636363636364"
"06 10:00:00","0.83941605839416","137","27","0.30656934306569","0.22992700729927","0.21897810218978","0.1970802919708","0.22992700729927","0.21897810218978"
"06 10:20:00","0.78145695364238","151","36","0.34437086092715","0.27019867549669","0.25960264900662","0.23841059602649","0.27019867549669","0.25960264900662"
"06 10:40:00","0.79768786127168","173","43","0.38150289017341","0.28843930635838","0.27514450867052","0.2485549132948","0.28843930635838","0.27514450867052"
"06 11:00:00","0.76219512195122","164","52","0.46951219512195","0.36280487804878","0.34756097560976","0.31707317073171","0.36280487804878","0.34756097560976"
"06 11:20:00","0.75816993464052","153","48","0.43790849673203","0.35098039215686","0.33856209150327","0.31372549019608","0.35098039215686","0.33856209150327"
"06 11:40:00","0.78070175438596","114","23","0.29824561403509","0.23070175438596","0.22105263157895","0.20175438596491","0.23070175438596","0.22105263157895"
"06 12:00:00","0.86046511627907","86","13","0.19767441860465","0.16511627906977","0.16046511627907","0.15116279069767","0.2146511627907","0.20860465116279"
"06 12:20:00","0.88732394366197","71","7","0.14084507042253","0.1112676056338","0.10704225352113","0.098591549295775","0.14464788732394","0.13915492957746"
"06 12:40:00","0.89705882352941","68","5","0.088235294117647","0.077941176470588","0.076470588235294","0.073529411764706","0.10132352941176","0.099411764705882"
"06 13:00:00","0.92982456140351","57","6","0.12280701754386","0.11052631578947","0.10877192982456","0.10526315789474","0.14368421052631","0.14140350877193"
"06 13:20:00","0.88421052631579","95","17","0.27368421052631","0.20736842105263","0.19789473684211","0.17894736842105","0.26957894736842","0.25726315789474"
"06 13:40:00","0.82142857142857","84","17","0.30952380952381","0.23452380952381","0.22380952380952","0.20238095238095","0.30488095238095","0.29095238095238"
"06 14:00:00","0.90756302521008","119","17","0.17647058823529","0.15294117647059","0.14957983193277","0.14285714285714","0.19882352941176","0.1944537815126"
"06 14:20:00","0.90434782608696","115","16","0.22608695652174","0.16521739130435","0.15652173913043","0.13913043478261","0.21478260869565","0.20347826086956"
"06 14:40:00","0.90579710144928","138","17","0.18115942028985","0.14057971014493","0.13478260869565","0.1231884057971","0.18275362318841","0.17521739130435"
