accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4,online_drivers (no data on day 13 - 09:20:00),Percentchange_onlinedrivers,DriverBusyRate,Pricing,Hour,wd1,wd2,wd3,wd4,wd5,wd6,wd7,Request/Supply
0.845238095,84,5,0.107142857,0.073809524,0.05952381,0.069047619,635,-0.036418816,0.144638404,1,0.59375,0,0,1,0,0,0,0,0.132283465
0.957746479,71,11,0.225352113,0.176056338,0.154929577,0.169014085,695,0.094488189,0.137755102,1,0.604166667,0,0,1,0,0,0,0,0.102158273
0.9375,64,4,0.09375,0.071875,0.0625,0.06875,674,-0.030215827,0.185279188,1,0.614583333,0,0,1,0,0,0,0,0.09495549
0.987012987,77,1,0.025974026,0.016883117,0.012987013,0.015584416,736,0.091988131,0.164588529,1,0.625,0,0,1,0,0,0,0,0.104619565
0.963414634,82,2,0.048780488,0.031707317,0.024390244,0.029268293,721,-0.020380435,0.123076923,1,0.635416667,0,0,1,0,0,0,0,0.113730929
0.927007299,137,15,0.160583942,0.124817518,0.109489051,0.119708029,772,0.07073509,0.144475921,1,0.645833333,0,0,1,0,0,0,0,0.17746114
0.907216495,97,16,0.24742268,0.189690722,0.164948454,0.181443299,741,-0.04015544,0.183183183,1,0.65625,0,0,1,0,0,0,0,0.130904184
0.9375,64,3,0.0625,0.0515625,0.046875,0.05,777,0.048582996,0.158415842,1,0.666666667,0,0,1,0,0,0,0,0.082368082
0.969230769,65,4,0.076923077,0.066153846,0.061538462,0.064615385,720,-0.073359073,0.119354839,1,0.677083333,0,0,1,0,0,0,0,0.090277778
0.895522388,67,1,0.014925373,0.014925373,0.014925373,0.014925373,758,0.052777778,0.113712375,1,0.6875,0,0,1,0,0,0,0,0.088390501
0.936507937,63,1,0.015873016,0.015873016,0.015873016,0.015873016,699,-0.077836412,0.126153846,1,0.697916667,0,0,1,0,0,0,0,0.090128755
0.907407407,54,1,0.037037037,0.024074074,0.018518519,0.022222222,744,0.064377682,0.163380282,1,0.708333333,0,0,1,0,0,0,0,0.072580645
0.920634921,63,7,0.142857143,0.120634921,0.111111111,0.117460317,680,-0.086021505,0.116531165,1,0.71875,0,0,1,0,0,0,0,0.092647059
0.966666667,60,1,0.016666667,0.016666667,0.016666667,0.016666667,708,0.041176471,0.114666667,1,0.729166667,0,0,1,0,0,0,0,0.084745763
0.934210526,76,6,0.118421053,0.090789474,0.078947368,0.086842105,626,-0.115819209,0.151041667,1,0.739583333,0,0,1,0,0,0,0,0.121405751
0.85,60,5,0.1,0.088333333,0.083333333,0.086666667,654,0.044728435,0.164456233,1,0.75,0,0,1,0,0,0,0,0.091743119
0.87037037,54,5,0.148148148,0.109259259,0.092592593,0.103703704,588,-0.100917431,0.138020833,1,0.760416667,0,0,1,0,0,0,0,0.091836735
0.839285714,56,4,0.107142857,0.082142857,0.071428571,0.078571429,585,-0.005102041,0.186351706,1,0.770833333,0,0,1,0,0,0,0,0.095726496
0.925925926,54,5,0.148148148,0.109259259,0.092592593,0.103703704,547,-0.064957265,0.179948586,1,0.78125,0,0,1,0,0,0,0,0.098720293
0.976744186,43,3,0.093023256,0.076744186,0.069767442,0.074418605,555,0.014625229,0.179220779,1,0.791666667,0,0,1,0,0,0,0,0.077477477
0.942857143,35,1,0.028571429,0.028571429,0.028571429,0.028571429,496,-0.106306306,0.202564103,1,0.802083333,0,0,1,0,0,0,0,0.070564516
0.852941176,34,3,0.147058824,0.105882353,0.088235294,0.1,503,0.014112903,0.158854167,1,0.8125,0,0,1,0,0,0,0,0.067594433
0.857142857,35,4,0.171428571,0.131428571,0.114285714,0.125714286,422,-0.161033797,0.128,1,0.822916667,0,0,1,0,0,0,0,0.082938389
0.827586207,29,3,0.172413793,0.124137931,0.103448276,0.117241379,443,0.049763033,0.176315789,1,0.833333333,0,0,1,0,0,0,0,0.065462754
0.8,10,1,0.1,0.1,0.1,0.1,306,-0.309255079,0.210810811,1,0.333333333,0,0,0,1,0,0,0,0.032679739
1,16,3,0.25,0.20625,0.1875,0.2,313,0.022875817,0.146067416,1,0.34375,0,0,0,1,0,0,0,0.051118211
0.923076923,26,1,0.076923077,0.05,0.038461538,0.046153846,434,0.38658147,0.156695157,1,0.354166667,0,0,0,1,0,0,0,0.059907834
0.828571429,35,2,0.085714286,0.065714286,0.057142857,0.062857143,439,0.011520737,0.18879056,1,0.364583333,0,0,0,1,0,0,0,0.079726651
0.865384615,52,5,0.153846154,0.113461538,0.096153846,0.107692308,542,0.234624146,0.147692308,1,0.375,0,0,0,1,0,0,0,0.095940959
0.904761905,42,1,0.023809524,0.023809524,0.023809524,0.023809524,535,-0.012915129,0.155709343,1,0.385416667,0,0,0,1,0,0,0,0.078504673
0.933333333,60,6,0.116666667,0.105,0.1,0.103333333,611,0.142056075,0.12455516,1,0.395833333,0,0,0,1,0,0,0,0.098199673
0.887096774,62,3,0.080645161,0.058064516,0.048387097,0.05483871,579,-0.052373159,0.090225564,1,0.40625,0,0,0,1,0,0,0,0.107081174
0.895522388,67,5,0.134328358,0.092537313,0.074626866,0.086567164,649,0.1208981,0.077253219,1,0.416666667,0,0,0,1,0,0,0,0.103235747
0.943661972,71,4,0.084507042,0.064788732,0.056338028,0.061971831,621,-0.043143297,0.058091286,1,0.427083333,0,0,0,1,0,0,0,0.114331723
0.886075949,79,9,0.139240506,0.121518987,0.113924051,0.118987342,667,0.074074074,0.050314465,1,0.4375,0,0,0,1,0,0,0,0.11844078
0.893333333,75,7,0.146666667,0.109333333,0.093333333,0.104,635,-0.047976012,0.069587629,1,0.447916667,0,0,0,1,0,0,0,0.118110236
0.912621359,103,7,0.116504854,0.082524272,0.067961165,0.077669903,669,0.053543307,0.125874126,1,0.458333333,0,0,0,1,0,0,0,0.153961136
0.850393701,127,26,0.283464567,0.228346457,0.204724409,0.220472441,629,-0.059790732,0.142857143,1,0.46875,0,0,0,1,0,0,0,0.20190779
0.851351351,74,3,0.040540541,0.040540541,0.040540541,0.040540541,673,0.069952305,0.117307692,1,0.479166667,0,0,0,1,0,0,0,0.109955423
0.957142857,70,1,0.028571429,0.018571429,0.014285714,0.017142857,621,-0.077265973,0.127340824,1,0.489583333,0,0,0,1,0,0,0,0.112721417
0.983333333,60,4,0.1,0.076666667,0.066666667,0.073333333,636,0.024154589,0.135869565,1,0.5,0,0,0,1,0,0,0,0.094339623
0.926829268,41,0,,,,,551,-0.133647799,0.179577465,1,0.510416667,0,0,0,1,0,0,0,0.074410163
1,35,0,,,,,565,0.025408348,0.191489362,1,0.520833333,0,0,0,1,0,0,0,0.061946903
1,41,0,,,,,518,-0.083185841,0.152631579,1,0.53125,0,0,0,1,0,0,0,0.079150579
0.970588235,34,1,0.029411765,0.029411765,0.029411765,0.029411765,545,0.052123552,0.148479428,1,0.541666667,0,0,0,1,0,0,0,0.062385321
0.923076923,39,1,0.051282051,0.033333333,0.025641026,0.030769231,509,-0.066055046,0.129151292,1,0.552083333,0,0,0,1,0,0,0,0.076620825
0.933333333,45,1,0.022222222,0.022222222,0.022222222,0.022222222,565,0.110019646,0.115969582,1,0.5625,0,0,0,1,0,0,0,0.079646018
0.907894737,76,2,0.039473684,0.030263158,0.026315789,0.028947368,549,-0.028318584,0.076923077,1,0.572916667,0,0,0,1,0,0,0,0.138433515
0.944444444,72,5,0.083333333,0.073611111,0.069444444,0.072222222,602,0.096539162,0.096359743,1,0.583333333,0,0,0,1,0,0,0,0.119601329
0.923076923,78,4,0.076923077,0.058974359,0.051282051,0.056410256,584,-0.029900332,0.105263158,1,0.59375,0,0,0,1,0,0,0,0.133561644
0.892857143,84,4,0.05952381,0.051190476,0.047619048,0.05,648,0.109589041,0.157142857,1,0.604166667,0,0,0,1,0,0,0,0.12962963
0.966666667,90,2,0.033333333,0.025555556,0.022222222,0.024444444,630,-0.027777778,0.159474672,1,0.614583333,0,0,0,1,0,0,0,0.142857143
0.921568627,102,5,0.068627451,0.054901961,0.049019608,0.052941176,688,0.092063492,0.152329749,1,0.625,0,0,0,1,0,0,0,0.148255814
0.961538462,104,5,0.048076923,0.048076923,0.048076923,0.048076923,679,-0.013081395,0.183501684,1,0.635416667,0,0,0,1,0,0,0,0.153166421
0.922077922,77,2,0.038961039,0.02987013,0.025974026,0.028571429,711,0.04712813,0.15625,1,0.645833333,0,0,0,1,0,0,0,0.108298172
0.884297521,121,19,0.231404959,0.179338843,0.157024793,0.171900826,666,-0.063291139,0.131921824,1,0.65625,0,0,0,1,0,0,0,0.181681682
0.817204301,93,5,0.086021505,0.06344086,0.053763441,0.060215054,728,0.093093093,0.151033386,1,0.666666667,0,0,0,1,0,0,0,0.127747253
0.855769231,104,3,0.057692308,0.0375,0.028846154,0.034615385,697,-0.042582418,0.152380952,1,0.677083333,0,0,0,1,0,0,0,0.149210904
0.987012987,77,5,0.077922078,0.068831169,0.064935065,0.067532468,725,0.040172166,0.129186603,1,0.6875,0,0,0,1,0,0,0,0.106206897
