time_window,accept_rate
17 20:40:00,1.0
18 08:00:00,0.0
18 08:20:00,1.0
18 08:40:00,1.0
18 09:00:00,0.9
18 09:20:00,0.75
18 09:40:00,0.8461538461538461
18 10:00:00,1.0
18 10:20:00,0.875
18 10:40:00,0.7307692307692307
18 11:00:00,0.6764705882352942
18 11:20:00,0.6410256410256411
18 11:40:00,0.7647058823529411
18 12:00:00,0.9333333333333333
18 12:20:00,1.0
18 12:40:00,1.0
18 13:00:00,1.0
18 13:20:00,1.0
18 13:40:00,1.0
18 14:00:00,0.8571428571428571
18 14:20:00,1.0
18 14:40:00,1.0
18 15:00:00,0.9090909090909091
18 15:20:00,1.0
18 15:40:00,0.95
18 16:00:00,0.9333333333333333
18 16:20:00,0.9545454545454546
18 16:40:00,1.0
18 17:00:00,0.9444444444444444
18 17:20:00,0.9411764705882353
18 17:40:00,0.8695652173913043
18 18:00:00,0.8695652173913043
18 18:20:00,0.8666666666666667
18 18:40:00,0.8888888888888888
18 19:00:00,1.0
18 19:20:00,0.9090909090909091
18 19:40:00,0.9
18 20:00:00,0.8888888888888888
18 20:20:00,1.0
18 20:40:00,1.0
19 08:00:00,1.0
19 08:20:00,1.0
19 08:40:00,0.9285714285714286
19 09:00:00,0.875
19 09:20:00,0.972972972972973
19 09:40:00,1.0
19 10:00:00,0.8846153846153846
19 10:20:00,0.9130434782608695
19 10:40:00,0.875
19 11:00:00,0.9444444444444444
19 11:20:00,0.9545454545454546
19 11:40:00,1.0
19 12:00:00,1.0
19 12:20:00,0.95
19 12:40:00,0.9545454545454546
19 13:00:00,1.0
19 13:20:00,1.0
19 13:40:00,0.9
19 14:00:00,0.8095238095238095
19 14:20:00,0.9696969696969697
19 14:40:00,0.8780487804878049
19 15:00:00,0.9333333333333333
19 15:20:00,0.9259259259259259
19 15:40:00,0.9393939393939394
19 16:00:00,1.0
19 16:20:00,0.8
19 16:40:00,0.8888888888888888
19 17:00:00,0.8529411764705882
19 17:20:00,0.8181818181818182
19 17:40:00,0.5625
19 18:00:00,0.8181818181818182
19 18:20:00,0.7
19 18:40:00,0.6363636363636364
19 19:00:00,0.3
19 19:20:00,0.5
19 19:40:00,0.3333333333333333
19 20:00:00,0.625
19 20:20:00,0.375
19 20:40:00,0.5714285714285714
20 08:00:00,0.6
20 08:20:00,1.0
20 08:40:00,1.0
20 09:00:00,1.0
20 09:20:00,1.0
20 09:40:00,1.0
20 10:00:00,0.9696969696969697
20 10:20:00,0.9666666666666667
20 10:40:00,0.9245283018867925
20 11:00:00,0.9
20 11:20:00,0.8181818181818182
20 11:40:00,0.9333333333333333
20 12:00:00,0.75
20 12:20:00,0.9629629629629629
20 12:40:00,0.9473684210526315
20 13:00:00,1.0
20 13:20:00,0.9047619047619048
20 13:40:00,0.9473684210526315
20 14:00:00,1.0
20 14:20:00,0.8297872340425532
20 14:40:00,0.92
20 15:00:00,0.8163265306122449
20 15:20:00,0.8717948717948718
20 15:40:00,0.8518518518518519
20 16:00:00,0.8297872340425532
20 16:20:00,0.8571428571428571
20 16:40:00,1.0
20 17:00:00,0.8484848484848485
20 17:20:00,0.9259259259259259
20 17:40:00,0.9047619047619048
20 18:00:00,0.6923076923076923
20 18:20:00,0.6785714285714286
20 18:40:00,0.9032258064516129
20 19:00:00,0.72
20 19:20:00,0.88
20 19:40:00,0.7333333333333333
20 20:00:00,0.7916666666666666
20 20:20:00,0.7777777777777778
20 20:40:00,1.0
21 08:00:00,1.0
21 08:20:00,1.0
21 08:40:00,0.9629629629629629
21 09:00:00,0.8888888888888888
21 09:20:00,0.9736842105263158
21 09:40:00,1.0
21 10:00:00,1.0
21 10:20:00,1.0
21 10:40:00,0.8709677419354839
21 11:00:00,0.972972972972973
21 11:20:00,1.0
21 11:40:00,0.9545454545454546
21 12:00:00,0.9523809523809523
21 12:20:00,1.0
21 12:40:00,0.9230769230769231
21 13:00:00,0.9354838709677419
21 13:20:00,0.9722222222222222
21 13:40:00,0.8863636363636364
21 14:00:00,0.7285714285714285
21 14:20:00,0.7959183673469388
21 14:40:00,0.8837209302325582
21 15:00:00,0.9454545454545454
21 15:20:00,0.9642857142857143
21 15:40:00,0.8333333333333334
21 16:00:00,0.851063829787234
21 16:20:00,0.9210526315789473
21 16:40:00,0.9166666666666666
21 17:00:00,0.9259259259259259
21 17:20:00,0.8846153846153846
21 17:40:00,0.9444444444444444
21 18:00:00,0.8181818181818182
21 18:20:00,0.8125
21 18:40:00,0.9583333333333334
21 19:00:00,1.0
21 19:20:00,0.8888888888888888
21 19:40:00,1.0
21 20:00:00,1.0
21 20:20:00,0.8
21 20:40:00,1.0
22 08:00:00,0.8333333333333334
22 08:20:00,1.0
22 08:40:00,1.0
22 09:00:00,0.9230769230769231
22 09:20:00,1.0
22 09:40:00,1.0
22 10:00:00,1.0
22 10:20:00,1.0
22 10:40:00,0.9555555555555556
22 11:00:00,0.8571428571428571
22 11:20:00,0.8409090909090909
22 11:40:00,0.8888888888888888
22 12:00:00,0.8571428571428571
22 12:20:00,0.8181818181818182
22 12:40:00,0.9166666666666666
22 13:00:00,1.0
22 13:20:00,1.0
22 13:40:00,0.96875
22 14:00:00,0.9555555555555556
22 14:20:00,0.875
22 14:40:00,0.972972972972973
22 15:00:00,0.7843137254901961
22 15:20:00,0.7619047619047619
22 15:40:00,0.8421052631578947
22 16:00:00,1.0
22 16:20:00,0.92
22 16:40:00,1.0
22 17:00:00,0.9523809523809523
22 17:20:00,0.9259259259259259
22 17:40:00,1.0
22 18:00:00,1.0
22 18:20:00,0.7916666666666666
22 18:40:00,0.6666666666666666
22 19:00:00,0.7916666666666666
22 19:20:00,1.0
22 19:40:00,0.9444444444444444
22 20:00:00,1.0
22 20:20:00,0.9090909090909091
22 20:40:00,1.0
23 08:00:00,0.8333333333333334
23 08:20:00,1.0
23 08:40:00,0.8888888888888888
23 09:00:00,0.96875
23 09:20:00,0.9743589743589743
23 09:40:00,0.9583333333333334
23 10:00:00,1.0
23 10:20:00,0.9302325581395349
23 10:40:00,0.9019607843137255
23 11:00:00,0.8947368421052632
23 11:20:00,0.8095238095238095
23 11:40:00,0.8387096774193549
23 12:00:00,0.9565217391304348
23 12:20:00,0.9583333333333334
23 12:40:00,0.9032258064516129
23 13:00:00,0.9523809523809523
23 13:20:00,0.9473684210526315
23 13:40:00,0.9629629629629629
23 14:00:00,0.9259259259259259
23 14:20:00,0.8780487804878049
23 14:40:00,0.7755102040816326
23 15:00:00,0.6379310344827587
23 15:20:00,0.7894736842105263
23 15:40:00,0.8245614035087719
23 16:00:00,0.8409090909090909
23 16:20:00,0.8035714285714286
23 16:40:00,0.723404255319149
23 17:00:00,0.6530612244897959
23 17:20:00,0.7441860465116279
23 17:40:00,0.7586206896551724
23 18:00:00,0.92
23 18:20:00,0.7608695652173914
23 18:40:00,0.7441860465116279
23 19:00:00,0.7105263157894737
23 19:20:00,0.95
23 19:40:00,0.8888888888888888
23 20:00:00,0.88
23 20:20:00,1.0
23 20:40:00,1.0
24 08:20:00,0.9090909090909091
24 08:40:00,0.8
24 09:00:00,1.0
24 09:20:00,0.8
24 09:40:00,0.9
24 10:00:00,0.9
24 10:20:00,0.9210526315789473
24 10:40:00,0.8571428571428571
24 11:00:00,0.75
24 11:20:00,0.8571428571428571
24 11:40:00,0.9333333333333333
24 12:00:00,0.875
24 12:20:00,0.9230769230769231
24 12:40:00,0.9090909090909091
24 13:00:00,1.0
24 13:20:00,1.0
24 13:40:00,1.0
24 14:00:00,0.9
24 14:20:00,0.9615384615384616
24 14:40:00,0.8571428571428571
24 15:00:00,0.9545454545454546
24 15:20:00,0.9642857142857143
24 15:40:00,1.0
24 16:00:00,0.8888888888888888
24 16:20:00,0.8636363636363636
24 16:40:00,0.8
24 17:00:00,0.9444444444444444
24 17:20:00,0.8
24 17:40:00,1.0
24 18:00:00,1.0
24 18:20:00,0.9090909090909091
24 18:40:00,0.7
24 19:00:00,1.0
24 19:20:00,0.8461538461538461
24 19:40:00,0.9230769230769231
24 20:00:00,0.7777777777777778
24 20:20:00,1.0
24 20:40:00,0.6666666666666666
25 08:00:00,1.0
25 08:20:00,1.0
25 08:40:00,0.8333333333333334
25 09:00:00,1.0
25 09:20:00,1.0
25 09:40:00,1.0
25 10:00:00,0.875
25 10:20:00,0.9375
25 10:40:00,1.0
25 11:00:00,0.92
25 11:20:00,0.8
25 11:40:00,0.8636363636363636
25 12:00:00,0.9047619047619048
25 12:20:00,0.9375
25 12:40:00,1.0
25 13:00:00,0.9
